01	Politecnica delle MARCHE
02	BARI
03	BOLOGNA
04	CAGLIARI
05	della CALABRIA
06	CAMERINO
07	CASSINO e LAZIO MERIDIONALE
08	CATANIA
09	FERRARA
10	FIRENZE
11	GENOVA
12	SALENTO
13	MACERATA
14	MESSINA
15	MILANO
16	Politecnico di MILANO
17	MODENA e REGGIO EMILIA
18	NAPOLI Federico II
19	PADOVA
20	PALERMO
21	PARMA
22	PAVIA
23	PERUGIA
24	PISA
26	ROMA La Sapienza
27	ROMA Tor Vergata
28	SALERNO
29	SASSARI
30	SIENA
31	TORINO
32	Politecnico di TORINO
33	TRIESTE
34	UDINE
35	TUSCIA
36	Ca' Foscari VENEZIA
37	UniversitÃ  IUAV di VENEZIA
38	BASILICATA
39	MOLISE
40	VERONA
41	Parthenope di NAPOLI
42	L'Orientale di NAPOLI
43	Scuola Normale Superiore di PISA
44	Scuola Superiore Sant'Anna
45	SISSA - TRIESTE
46	BRESCIA
47	Mediterranea di REGGIO CALABRIA
48	Politecnico di BARI
49	Seconda Univ. NAPOLI
50	LIUC - CASTELLANZA
51	BERGAMO
53	CHIETI-PESCARA
55	L'AQUILA
56	Bocconi MILANO
57	Cattolica del Sacro Cuore
58	IULM - MILANO
59	Suor Orsola Benincasa - NAPOLI
60	Libera Univ. Maria SS.Assunta-LUMSA - ROMA
61	LUISS Guido Carli - ROMA
62	TRENTO
63	URBINO Carlo BO
97	Stranieri di SIENA
99	Stranieri di PERUGIA
A0	Univ. Campus Bio-Medico di ROMA
A6	LINK CAMPUS
A7	ROMA TRE
A8	TERAMO
A9	S. Raffaele MILANO
B0	Univ. Studi Internazionali di ROMA (UNINT)
C0	ROMA Foro Italico
C3	Libera UniversitÃ  di BOLZANO
C4	SANNIO di BENEVENTO
C5	CATANZARO
C6	MILANO-BICOCCA
C7	INSUBRIA
C8	PIEMONTE ORIENTALE
C9	FOGGIA
D0	Univ. Telematica Internazionale UNINETTUNO
D1	LUM Jean Monnet
D2	VALLE D'AOSTA
D3	Univ. Telematica GUGLIELMO MARCONI
D4	Univ. Telematica UNITELMA SAPIENZA
D5	SCIENZE GASTRONOMICHE
D6	UKE - UniversitÃ  Kore di ENNA
D7	EUROPEA di ROMA
D8	Univ. Telematica LEONARDO da VINCI
D9	Univ. Telematica E-CAMPUS
E0	UNICUSANO - Telematica Roma
E1	Univ. Telematica PEGASO
E2	Univ. Telematica GIUSTINO FORTUNATO
E4	Univ. Telematica San Raffaele Roma
E7	Univ. Telematica IUL
E8	Univ. Telematica Universitas MERCATORUM
E9	Stranieri REGGIO CALABRIA
H1	HUMANITAS University
S0	I.U.S.S. - PAVIA
S1	Scuola IMT - LUCCA
