Numero di Studenti ISCRITTI e IMMATRICOLATI nell'anno accademico 2013/2014 per Ateneo e Sesso							
ATENEO (codice)	ATENEO	ISCRITTI			di cui IMMATRICOLATI		
		MASCHI	FEMMINE	TOTALI	MASCHI	FEMMINE	TOTALI
TOTALE ITALIA		 728.765 	 948.191 	 1.676.956 	 112.164 	 140.293 	 252.457 
00101	Università degli studi di Torino	 24.683 	 40.118 	 64.801 	 3.920 	 6.298 	 10.218 
00102	Politecnico di Torino	 20.556 	 8.205 	 28.761 	 3.455 	 1.253 	 4.708 
00201	"Università degli studi del Piemonte orientale ""Amedeo Avogadro"""	 3.931 	 6.099 	 10.030 	 764 	 1.245 	 2.009 
00401	Università di Scienze Gastronomiche	 118 	 147 	 265 	 22 	 41 	 63 
00701	Università della Valle d'Aosta	 326 	 836 	 1.162 	 73 	 154 	 227 
01001	Università degli studi di Genova	 14.588 	 18.095 	 32.683 	 2.443 	 2.776 	 5.219 
01201	"Università ""Carlo Cattaneo"" (LIUC)"	 1.098 	 664 	 1.762 	 160 	 78 	 238 
01202	Università degli studi dell' Insubria	 3.737 	 4.774 	 8.511 	 604 	 884 	 1.488 
01301	"Università telematica ""e-Campus"" di Novedrate (CO)"	 3.574 	 3.109 	 6.683 	 398 	 394 	 792 
01501	Università degli studi di Milano	 24.787 	 35.475 	 60.262 	 4.429 	 6.538 	 10.967 
01502	Politecnico di Milano	 26.778 	 13.354 	 40.132 	 4.677 	 2.182 	 6.859 
01503	Università commerciale Luigi Bocconi di Milano	 6.800 	 6.590 	 13.390 	 1.361 	 1.342 	 2.703 
01504	"Università Cattolica del ""Sacro Cuore"""	 12.923 	 23.464 	 36.387 	 2.324 	 4.144 	 6.468 
01505	Libera Università di Lingue e Comunicazione (IULM)	 1.261 	 2.936 	 4.197 	 264 	 666 	 930 
01508	Libera Università, Vita-Salute San Raffaele di Milano	 857 	 1.144 	 2.001 	 131 	 164 	 295 
01509	Università degli studi di Milano-Bicocca	 12.150 	 19.774 	 31.924 	 2.139 	 3.230 	 5.369 
01601	Università degli studi di Bergamo	 5.335 	 9.000 	 14.335 	 835 	 1.597 	 2.432 
01701	Università degli studi di Brescia	 7.458 	 6.689 	 14.147 	 1.221 	 1.195 	 2.416 
01801	Università degli studi di Pavia	 9.566 	 11.806 	 21.372 	 1.585 	 1.881 	 3.466 
02101	Libera Università di Bolzano	 830 	 1.828 	 2.658 	 148 	 400 	 548 
02201	Università degli studi di Trento	 8.167 	 8.341 	 16.508 	 1.458 	 1.331 	 2.789 
02301	Università degli studi di Verona	 7.739 	 14.148 	 21.887 	 1.315 	 2.627 	 3.942 
02701	Università degli studi Ca' Foscari di Venezia	 6.763 	 12.498 	 19.261 	 1.265 	 2.256 	 3.521 
02702	Università Iuav di Venezia	 2.390 	 2.294 	 4.684 	 329 	 402 	 731 
02801	Università degli studi di Padova	 26.188 	 32.002 	 58.190 	 4.489 	 5.180 	 9.669 
03001	Università degli studi di Udine	 7.099 	 8.080 	 15.179 	 1.246 	 1.355 	 2.601 
03201	Università degli studi di Trieste	 7.172 	 9.302 	 16.474 	 1.029 	 1.362 	 2.391 
03401	Università degli studi di Parma	 10.853 	 14.167 	 25.020 	 1.459 	 1.797 	 3.256 
03601	Università degli studi di Modena e Reggio Emilia	 8.932 	 10.582 	 19.514 	 1.701 	 1.967 	 3.668 
03701	Università degli studi di Bologna	 33.963 	 43.342 	 77.305 	 5.590 	 7.104 	 12.694 
03801	Università degli studi di Ferrara	 6.983 	 8.501 	 15.484 	 1.006 	 1.228 	 2.234 
04101	"Università degli studi ""Carlo Bo"" di Urbino"	 5.337 	 8.463 	 13.800 	 947 	 1.448 	 2.395 
04201	Università Politecnica delle Marche - Ancona	 8.651 	 6.988 	 15.639 	 1.403 	 1.225 	 2.628 
04301	Università degli studi di Macerata	 2.875 	 6.898 	 9.773 	 382 	 1.044 	 1.426 
04302	Università degli studi di Camerino	 3.337 	 3.577 	 6.914 	 386 	 466 	 852 
04801	Università degli studi di Firenze	 20.560 	 29.303 	 49.863 	 3.127 	 4.394 	 7.521 
05001	Università degli studi di Pisa	 21.660 	 23.341 	 45.001 	 3.067 	 3.109 	 6.176 
05201	Università degli studi di Siena	 6.483 	 9.263 	 15.746 	 842 	 1.288 	 2.130 
05202	Università per stranieri di Siena	 210 	 923 	 1.133 	 57 	 262 	 319 
05401	Università degli studi di Perugia	 10.128 	 13.359 	 23.487 	 1.464 	 1.801 	 3.265 
05403	Università per stranieri di Perugia	 390 	 701 	 1.091 	 40 	 79 	 119 
05601	Università degli Studi della Tuscia	 3.717 	 3.625 	 7.342 	 744 	 690 	 1.434 
05801	Università degli studi di Roma La Sapienza	 44.119 	 61.766 	 105.885 	 5.979 	 7.719 	 13.698 
05802	Università degli studi di Roma Tor Vergata	 15.082 	 15.430 	 30.512 	 2.444 	 2.357 	 4.801 
05803	Libera Università Maria SS.Assunta - (LUMSA) di Roma	 1.960 	 4.088 	 6.048 	 259 	 591 	 850 
05805	Libera Università internazionale degli studi sociali Guido Carli - (LUISS) di Roma	 3.732 	 3.892 	 7.624 	 700 	 642 	 1.342 
05806	"Università degli studi di Roma ""Foro Italico"""	 1.518 	 678 	 2.196 	 228 	 91 	 319 
05807	Università degli studi Roma Tre	 14.371 	 20.931 	 35.302 	 2.323 	 3.064 	 5.387 
05808	Università Campus Bio-Medico di Roma	 622 	 942 	 1.564 	 103 	 160 	 263 
05809	Libera Università degli Studi Internazionali di Roma	 359 	 835 	 1.194 	 46 	 136 	 182 
05810	Università telematica Guglielmo Marconi di Roma	 9.443 	 4.862 	 14.305 	 415 	 288 	 703 
05811	Università telematica Unitelma Sapienza di Roma	 874 	 771 	 1.645 	 42 	 32 	 74 
05812	Università Europea di Roma	 333 	 538 	 871 	 59 	 76 	 135 
05813	Università telematica internazionale UNINETTUNO di Roma	 5.356 	 3.353 	 8.709 	 249 	 166 	 415 
05814	Universitas Mercatorum di Roma	 161 	 88 	 249 	 30 	 18 	 48 
05815	Università telematica Niccolò Cusano di Roma	 7.043 	 4.448 	 11.491 	 410 	 313 	 723 
05816	"Università telematica ""San Raffaele"" di Roma - già ""UNITEL"""	 609 	 360 	 969 	 122 	 56 	 178 
05817	Link Campus University di Roma	 944 	 436 	 1.380 	 345 	 169 	 514 
06001	Università degli studi di Cassino	 3.815 	 4.739 	 8.554 	 578 	 717 	 1.295 
06201	Università degli Studi del Sannio	 2.971 	 3.222 	 6.193 	 443 	 530 	 973 
06202	"Universita telematica ""Giustino Fortunato"" di Benevento"	 349 	 189 	 538 	 28 	 13 	 41 
06301	Università degli studi di Napoli Federico II	 34.516 	 44.798 	 79.314 	 5.245 	 6.235 	 11.480 
06302	Università degli studi di Napoli - Parthenope	 8.271 	 6.503 	 14.774 	 1.378 	 965 	 2.343 
06303	Università degli studi L'Orientale di Napoli	 2.242 	 8.060 	 10.302 	 441 	 1.620 	 2.061 
06304	Università degli studi Suor Orsola Benincasa di Napoli	 1.214 	 6.910 	 8.124 	 161 	 1.040 	 1.201 
06306	Seconda Università degli studi di Napoli	 11.148 	 15.570 	 26.718 	 1.424 	 1.850 	 3.274 
06307	"Universita telematica ""Pegaso"" di Napoli"	 2.718 	 1.250 	 3.968 	 793 	 327 	 1.120 
06501	Università degli studi di Salerno	 13.699 	 21.311 	 35.010 	 1.930 	 2.600 	 4.530 
06601	Università degli studi di L'Aquila	 10.472 	 13.454 	 23.926 	 1.580 	 1.973 	 3.553 
06701	Università degli studi di Teramo	 2.732 	 3.896 	 6.628 	 373 	 455 	 828 
06901	Università degli studi Gabriele D'Annunzio di Chieti e Pescara	 10.001 	 18.460 	 28.461 	 1.504 	 2.601 	 4.105 
06902	"Università telematica non statale ""Leonardo da Vinci"" di Torrevecchia Teatina (CH)"	 103 	 126 	 229 	 7 	 5 	 12 
